id,image_id,caption_text
1,"image,caption",
2,"1000268201_693b08cb0e.jpg,A",child in a pink dress is climbing up a set of stairs in an entry way .
3,"1000268201_693b08cb0e.jpg,A",girl going into a wooden building .
4,"1000268201_693b08cb0e.jpg,A",little girl climbing into a wooden playhouse .
5,"1000268201_693b08cb0e.jpg,A",little girl climbing the stairs to her playhouse .
6,"1000268201_693b08cb0e.jpg,A",little girl in a pink dress going into a wooden cabin .
7,"1001773457_577c3a7d70.jpg,A",black dog and a spotted dog are fighting
8,"1001773457_577c3a7d70.jpg,A",black dog and a tri-colored dog playing with each other on the road .
9,"1001773457_577c3a7d70.jpg,A",black dog and a white dog with brown spots are staring at each other in the street .
10,"1001773457_577c3a7d70.jpg,Two",dogs of different breeds looking at each other on the road .
11,"1001773457_577c3a7d70.jpg,Two",dogs on pavement moving toward each other .
12,"1002674143_1b742ab4b8.jpg,A",little girl covered in paint sits in front of a painted rainbow with her hands in a bowl .
13,"1002674143_1b742ab4b8.jpg,A",little girl is sitting in front of a large painted rainbow .
14,"1002674143_1b742ab4b8.jpg,A",small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it .
15,"1002674143_1b742ab4b8.jpg,There",is a girl with pigtails sitting in front of a rainbow painting .
16,"1002674143_1b742ab4b8.jpg,Young",girl with pigtails painting outside in the grass .
17,"1003163366_44323f5815.jpg,A",man lays on a bench while his dog sits by him .
18,"1003163366_44323f5815.jpg,A",man lays on the bench to which a white dog is also tied .
19,"1003163366_44323f5815.jpg,a",man sleeping on a bench outside with a white and black dog sitting next to him .
20,"1003163366_44323f5815.jpg,A",shirtless man lies on a park bench with his dog .
21,"1003163366_44323f5815.jpg,man",laying on bench holding leash of dog sitting on ground
22,"1007129816_e794419615.jpg,A",man in an orange hat starring at something .
23,"1007129816_e794419615.jpg,A",man wears an orange hat and glasses .
24,"1007129816_e794419615.jpg,A",man with gauges and glasses is wearing a Blitz hat .
25,"1007129816_e794419615.jpg,A",man with glasses is wearing a beer can crocheted hat .
26,"1007129816_e794419615.jpg,The",man with pierced ears is wearing glasses and an orange hat .
27,"1007320043_627395c3d8.jpg,A",child playing on a rope net .
28,"1007320043_627395c3d8.jpg,A",little girl climbing on red roping .
29,"1007320043_627395c3d8.jpg,A",little girl in pink climbs a rope bridge at the park .
30,"1007320043_627395c3d8.jpg,A",small child grips onto the red ropes at the playground .
31,"1007320043_627395c3d8.jpg,The",small child climbs on a red ropes on a playground .
32,"1009434119_febe49276a.jpg,A",black and white dog is running in a grassy garden surrounded by a white fence .
33,"1009434119_febe49276a.jpg,A",black and white dog is running through the grass .
34,"1009434119_febe49276a.jpg,A",Boston terrier is running in the grass .
35,"1009434119_febe49276a.jpg,A",Boston Terrier is running on lush green grass in front of a white fence .
36,"1009434119_febe49276a.jpg,A",dog runs on the green grass near a wooden fence .
37,"1012212859_01547e3f17.jpg,""A","dog shakes its head near the shore , a red ball next to it ."""
38,"1012212859_01547e3f17.jpg,A",white dog shakes on the edge of a beach with an orange ball .
